,lambda=0.0000
2014-04-02,1.3832318030621888
2014-04-03,1.3760404384092282
2014-04-04,1.3907568070872838
2014-04-08,1.4027363901247576
2014-04-09,1.4072572739400444
2014-04-10,1.4088313909146435
2014-04-11,1.4102916044695395
2014-04-14,1.4183551478750276
2014-04-15,1.4036094519538571
2014-04-16,1.4065168062371152
2014-04-17,1.4031699524227046
2014-04-18,1.4067573447440616
2014-04-21,1.3837111667257445
2014-04-22,1.3865246721143025
2014-04-23,1.3809709765192602
2014-04-24,1.3707663333927744
2014-04-25,1.3507355313600025
2014-04-28,1.3113716875971024
2014-04-29,1.327234918780628
2014-04-30,1.341601280697902
2014-05-05,1.3561939236196028
2014-05-06,1.3606431411551894
2014-05-07,1.3420687416868848
2014-05-08,1.3495695436474269
2014-05-09,1.3421665113053844
2014-05-12,1.3699631778671346
2014-05-13,1.3703138781873974
2014-05-14,1.3692481812152182
2014-05-15,1.3455865449814477
2014-05-16,1.346741300970733
2014-05-19,1.3405030138427365
2014-05-20,1.3401968520872778
2014-05-21,1.350343028430189
2014-05-22,1.3483037367865358
2014-05-23,1.3566208468434613
2014-05-26,1.3680796221448426
2014-05-27,1.3649445383499939
2014-05-28,1.374615602771648
2014-05-29,1.363478822564527
2014-05-30,1.3677119051958422
2014-06-03,1.3647807215387338
2014-06-04,1.3541112812214406
2014-06-05,1.3675160741923735
2014-06-06,1.363853037575441
2014-06-09,1.3558432638573115
2014-06-10,1.3718686676024259
2014-06-11,1.3760272416476431
2014-06-12,1.3711046508077025
2014-06-13,1.3803908809660062
2014-06-16,1.388712993294262
2014-06-17,1.3774358658300445
2014-06-18,1.3713079409199753
2014-06-19,1.3401436939955251
2014-06-20,1.3519965800192852
2014-06-23,1.361699458748815
2014-06-24,1.370638308738196
2014-06-25,1.3628838556851357
2014-06-26,1.3762744191934229
2014-06-27,1.3815325682814608
2014-06-30,1.395572907150966
2014-07-01,1.4007753010651522
2014-07-02,1.4107087247108496
2014-07-03,1.4269036011254113
2014-07-04,1.4252442587983203
2014-07-07,1.426112430413143
2014-07-08,1.4291391863742102
2014-07-09,1.4086496244992925
2014-07-10,1.4098683536068657
2014-07-11,1.423635926383337
2014-07-14,1.4421836162033055
2014-07-15,1.448013723049305
2014-07-16,1.4467681705746052
2014-07-17,1.4411012887876802
2014-07-18,1.4465708255797438
2014-07-21,1.4392403169982622
2014-07-22,1.4581367581388784
2014-07-23,1.4559426494115417
2014-07-24,1.4664592969071757
2014-07-25,1.4795822550352873
2014-07-28,1.5036945756636566
