,accrual,amihud,analyst_cnt_chg,analyst_eps_revision,analyst_rating_chg,asset_growth,asset_turn,boll_pct,bp,cfp,ep_ttm,ep_vs_history,eps_dispersion,fcfp,float_pct_30d,garp,gross_margin,gross_margin_trend,high_52w,high_52w_v2,hk_hold_chg,hk_hold_ratio,holder_chg,ind_adj_mom,ind_adj_mom_6_1,insider_net_buy,ivol_60d,large_net_inflow,leverage,macd_cross,margin_ratio,max_ret,mf_flow_ratio,mom_12_1,mom_6_1,mom_consistency_6,mom_risk_adj,np_yoy,obv_chg_20d,piotroski_f,pledge_ratio,q_roe,ret_1m,rev_acceleration,rev_yoy,roa,roe,roe_delta,roe_delta_3q,roe_smoothed_4q,roe_stability,rsi_12,rsi_6,share_issuance,short_ratio,sp_ttm,turn_20d,vol_60d
ep_ttm,0.16412363901781848,-0.05853949869509184,-0.03910128594655955,0.014226334429137765,-0.0156857782675084,-0.16321273644544046,0.21926119317408876,0.0036872777822673257,0.24928178167537973,0.28562806343593783,1.0,0.5852111281497885,0.42001311465207736,0.1055815633274132,-0.001113649697943939,0.8493758803277146,0.16894591594851358,0.1032720965530734,0.10897864142303179,0.14635810620227513,0.0077190050796366524,0.15835376434871906,-0.056225666585656656,0.01618454205991894,-0.014382583991845447,0.028048497638476517,-0.22164300450826022,-0.04455212115208151,-0.06220755849414852,0.002173196867959964,-0.16582152862388994,-0.1344353568901844,-0.009330277448439214,0.017864694679918205,-0.012512918131728248,-0.009997365141953806,0.00463634574031859,0.23514227952792766,-0.0353572646715105,0.14707938000942813,-0.12012131325603838,0.4756971449757856,-0.0228342997839928,-0.03630791459789015,0.10935058922881306,0.49135029362383,0.5402076503307583,0.13973764803076172,-0.08062020690455908,0.6524181242226247,0.03923499911862974,-0.005719692160619894,0.015325013667555511,-0.03289080000234489,-0.08830768904272518,0.2490133972433313,-0.08289790680245263,-0.2281542325151259
ep_vs_history,0.18256188234120885,-0.053554885772016766,-0.02873191934881476,0.0652840262147916,-0.017339501405756488,-0.2188135770959684,0.12979660612481037,-0.030805117683204333,-0.03242452319451812,0.11674886568064266,0.5852111281497885,1.0,0.23745147598596036,0.05059325161041374,0.0046520662137146335,0.5588178464383197,0.1385947950077029,0.18404925889493917,0.006345391745929182,0.04338855806205725,-0.00935006466967425,0.01281594614666622,-0.07780294632156588,-0.02743750404009495,-0.051207832790318215,0.006139846209215477,-0.10961041884960954,-0.03920949930212069,-0.022982698291318868,-0.008396490914863382,-0.06395590384036107,-0.07811339543434405,-0.001614191599190689,-0.025961013733450226,-0.049980473022107175,-0.04306699800847658,-0.021457890010043196,0.4462547161679744,-0.044567312566067954,0.18962742266325558,0.01555619189076674,0.38041957148010075,-0.05124389559153267,-0.0638446081878848,0.234151734431529,0.37197954207635314,0.4177322918994613,0.33035879710726834,-0.04873815556242475,0.535437829135194,0.027123821397322414,-0.028749149805083515,-0.013598809609976474,-0.0694126540488481,-0.055684501725094954,0.049165503656606574,-0.026814779392089712,-0.1042808365046714
eps_dispersion,0.05032941846090398,-0.03284283639203846,-0.0033020506040919956,0.06012919097453153,-0.0021650885938742544,0.00553233443278298,0.11747765913352701,0.015461281142861811,0.028777684463796378,0.12803360446531142,0.42001311465207736,0.23745147598596036,1.0,0.1259179338101348,-0.009142929555127903,0.4389649457963774,0.1377014758056051,0.04754974902415583,0.08975581427928316,0.10420273255719753,0.01312957070920401,0.09269880921610431,0.014449576576065515,0.004739782548930864,0.0042300626390071394,0.011419099457527625,-0.16847104290413348,-0.022455264644650783,-0.15266715450870885,0.006849768026852735,-0.09549552243598437,-0.09833739642858316,-0.004699058697760851,0.007409717803136362,0.006770347888297865,0.0009330627175292068,-0.001965767465899735,0.06794838876676566,0.000936630849794823,0.06452222348679089,-0.10252034440308402,0.2710330349086512,0.004108591984418105,-0.014768839631136833,-0.0033528521407412406,0.31645631936431673,0.31613736462807746,0.04783364653246362,0.0017694724341539999,0.3303442856627492,0.08039224202558247,0.014662011238102289,0.013279274491456786,0.09704456326304986,-0.051794508043846256,0.007347886446710062,-0.05947743668711137,-0.16533996586868757
fcfp,-0.32284912499665497,-0.02618267428535524,-0.0013363359740973127,0.03868238934165466,-0.0011561635182420968,0.1896439940860347,0.09227958166256334,0.016564358937915698,-0.046117123223380414,0.4079075596778175,0.1055815633274132,0.05059325161041374,0.1259179338101348,1.0,-0.011419715146620867,0.12601951801716055,0.07854301732549154,0.07423404491712628,0.08091805081220504,0.08450457066569922,0.019954891885623844,0.1002408721517597,0.013164920751715688,0.06955824279432493,0.05081356852813531,0.00913874385485798,-0.006331341503344234,0.02030963720602608,-0.08624663849610545,-0.0003256107719660821,-0.04073232677260975,-0.008368758294585303,-0.007810490470386871,0.07002590924106471,0.050481809579230756,0.034061567189139275,0.06887190064019799,0.053904179612237896,0.011866058556196366,0.24432124515349174,-0.05844243789176706,0.12022246157534751,0.014084514467456653,-0.009672744028014347,-0.04905731396556018,0.15544773681439714,0.1214241554447655,0.0862725779923968,0.04774412910735984,0.09910517486620216,-0.0013727654558202203,0.018232824480594906,0.013212670568667952,0.07300375883241021,0.021872493092033804,0.008457414533131681,0.008221434978453386,-0.020818409800877367
float_pct_30d,0.004650604059031525,-0.0009489961019442023,-0.0016594792252582044,-0.004546534448648946,0.0033519452775487985,-0.028010303194876164,0.0037404076065618843,-0.0038190205904647854,-0.0006004153231627242,-0.0015376973089058746,-0.001113649697943939,0.0046520662137146335,-0.009142929555127903,-0.011419715146620867,1.0,0.0033949888154826656,0.0027821512944990806,-0.004090268863363212,-0.008014333004821314,-0.004218596046750513,-0.008090873052789306,0.003560208488361715,-0.007403999977681571,0.0006905269836904444,-0.004889622990370497,-0.035435049231585525,0.009108883676063375,-0.0014358837652238608,0.0033600878242272653,-0.00345714146281598,0.0020789968456349016,0.008373459752369678,0.007993223436006749,0.0021444841443584214,-0.002707160335695511,-0.00284418966853853,0.000837147306835165,-0.002444682757979235,-0.004680225398615737,-0.003966709663935978,0.027061729168542725,0.0006820964737504834,-0.006771678874714633,-0.004685187460102968,0.009566222252725996,0.00550569256718812,0.003324331842767342,-0.01212011954263408,-0.005004650401954276,0.006261625750877548,-0.013212391525174892,-0.006404646278399133,-0.005955922947496549,-0.04297728057021367,0.0029940239842898616,0.007400015821523554,0.014483277394693406,0.007277466370044938
garp,0.18188633712397057,-0.06582591449745291,-0.01907750335630031,0.07220574090969545,-0.006097540252508364,-0.24987121934901385,0.3314292870470679,0.0406853809173704,-0.042305559417752596,0.21254694270047925,0.8493758803277146,0.5588178464383197,0.4389649457963774,0.12601951801716055,0.0033949888154826656,1.0,0.2811549487240215,0.1398068345263567,0.1847687453623912,0.2128758124993838,0.0385749532128156,0.20517390749922204,-0.0467466635813933,0.1300756833295299,0.0666051382013766,0.01527355079714997,-0.11715003653754492,0.007027960545727736,-0.11882140590700227,0.006985541455859836,-0.24673296844959533,-0.07104379759157801,0.007108990067444525,0.13165023114489238,0.06843175167044115,0.049962875802807054,0.12063845746314354,0.3718463216210935,-0.02082970798152331,0.18888151333402892,-0.08014538864758974,0.7576711246493687,0.01856194708280898,-0.014709443711529956,0.20365783750669722,0.7870866703884632,0.8605343774613731,0.2290487964255776,0.08365652487406153,0.8243760468782122,-0.043992112785173954,0.029396465613306052,0.04361314428423823,-0.08751612442273596,-0.11221983854020963,0.0771679754689479,-0.025895684916539225,-0.1439749367604177
gross_margin,0.07492866578568258,-0.017588062389605672,-0.0024374975074781145,0.02564690870779549,-0.006801546840089889,-0.0959500444591827,-0.37198039032095637,0.028915263613644604,-0.22792257333857893,0.01994234724847746,0.16894591594851358,0.1385947950077029,0.1377014758056051,0.07854301732549154,0.0027821512944990806,0.2811549487240215,1.0,0.19195889886826356,0.09367365226955116,0.09725906829430171,0.026443135876803005,0.09309287378362531,-0.0037980110389798753,0.10016241010534206,0.06544303806762602,-0.02975315000113496,0.022170111282427612,0.04054820776428077,-0.4184818842963613,0.0028889703751257233,-0.06095536381532681,0.019150491415426667,0.013585590262820003,0.10069974806796296,0.06636808326352228,0.03504902259210006,0.09915929846490439,0.13342320136471658,-0.001971983239974482,0.1279419481386955,0.08661389267783984,0.307537525089661,0.021399523977791633,0.0016814414393940302,0.05033951665630968,0.4299551255081189,0.3433164979305645,0.06454223478588321,0.029755518309992412,0.3370977738072611,-0.02844999797721743,0.022058236175431907,0.02624495930816089,-0.06385702892169785,0.00997792544199056,-0.5442652972984073,0.03572406862562275,0.014506039084195635
gross_margin_trend,-0.02480469788181613,-0.010560737415252652,0.01636028592187506,0.12306755085687703,0.007993175272252085,-0.014687878343938017,0.03326204745931952,0.030101307277657696,-0.027285113205647495,0.07142177354650434,0.1032720965530734,0.18404925889493917,0.04754974902415583,0.07423404491712628,-0.004090268863363212,0.1398068345263567,0.19195889886826356,1.0,0.12941794778650195,0.1344026780810002,0.002234460157312353,0.023809850512647935,0.007458091404140439,0.15814492423852877,0.09193546706111662,-0.004166949823469796,0.009264730392040446,0.02796552610520592,0.0060789059566537865,0.005740625571091934,-0.07578148299685691,0.008188162575663455,0.018849602716567656,0.1584636300263146,0.09216056327753587,0.04354740554362477,0.14920050197820403,0.3394466526019859,0.01507643470373996,0.43021283366810326,-0.014799882545021428,0.1611865157057715,0.028691399007584665,-0.030573848449984314,-0.055773115034064846,0.15885126251856777,0.16075370311796508,0.34338556077902255,0.13563570006747197,0.11376726436494256,-0.0004561301870906411,0.03087670904716833,0.02552454258206982,-0.009102528721507913,-0.013837904458887355,0.008364212104362903,0.012093243097282137,-0.0011767033794240283
high_52w,-0.0027774853647058637,0.04685153828306445,0.13749013601336985,0.1878726802376042,0.06465290675881617,-0.052749513665367474,0.11092802431382323,0.32963124263865046,-0.11807982810091115,0.046710836238578766,0.10897864142303179,0.006345391745929182,0.08975581427928316,0.08091805081220504,-0.008014333004821314,0.1847687453623912,0.09367365226955116,0.12941794778650195,1.0,0.821554086018923,0.09120370788247881,0.1687204720876939,0.15687340019315762,0.48525484662381896,0.49050987394392853,0.02522203959417974,0.10764323131975218,0.2396153241776767,-0.0849220126281126,0.09156210080434396,-0.30254947067944654,0.17641743576796748,0.17715253301909042,0.49113558594532625,0.49572981616936523,0.29857032680350576,0.43808103714241226,0.2312933147427233,0.23519220839675672,0.1838251728740607,-0.12526092311586895,0.23020934963308187,0.42765197125441634,0.08018951235090428,0.13526346210905332,0.2131912511858473,0.21842944948112883,0.23213448847531631,0.111386305616277,0.19797142193136777,0.07182262024792985,0.32555392289516943,0.24594320836768307,-0.02874020540571911,0.026258375598580044,-0.056185137193441016,0.060328833184577,-0.01935222833767083
high_52w_v2,0.005311780601682306,0.014632740018878904,0.12297715889768025,0.18572178642840867,0.05256481716970271,-0.062201178903494934,0.11255967074259104,0.03419894579523418,-0.08896195793418388,0.05844635963464278,0.14635810620227513,0.04338855806205725,0.10420273255719753,0.08450457066569922,-0.004218596046750513,0.2128758124993838,0.09725906829430171,0.1344026780810002,0.821554086018923,1.0,0.07233098397221333,0.17943085919472102,0.1401903610557575,0.6013792140059228,0.5901854390562965,0.022982819422623414,0.07990863639394115,0.08935463320952902,-0.08754811329181947,-0.16867895317128406,-0.27532265304382514,-0.023106898835391906,0.09148441257627522,0.607881276607689,0.5952638028684131,0.36536852447391444,0.5560507573116676,0.23690307897093446,-0.06290049649276197,0.18773632689969472,-0.12721822346484662,0.23309379908564687,-0.015470075353022063,0.06650950946087665,0.1400480062153563,0.22399926655927146,0.22970328731104026,0.23866306193675924,0.09747619735686634,0.21549126460054843,0.07311825884753438,0.027839448600840665,0.04619726288077252,-0.039171368573559406,0.003243712281532328,-0.04079007530313843,-0.022098745963279893,-0.038909235823453785
