factor,ic_ir,ic_mean,ic_n,p_value_bh,effective_ic,shift_drop,shift_warning,shift_lead_warn,shift_lead_ratio,factor_direction,sharpe_ls,directional_sharpe_ls,dir_flip_valid,valid_stability,icir_lag1,icir_lag2,icir_lag3,ic_decay_pass,final_include,stability_weight
asset_growth,-0.1975,-0.0148,106,0.06457574999999999,False,0.036900000000000016,False,False,0.3676,-1.0,-0.6350691064744555,0.6350691064744555,True,warn,-0.1975,-0.1606,-0.0664,True,False,1.0
mf_flow_ratio,-0.1751,-0.0157,76,0.18098623809523812,False,0.0985,True,False,5.319,-1.0,-0.06787330570628568,0.06787330570628568,False,stable,-0.1751,-0.1687,-0.2178,True,False,0.5
leverage,-0.1522,-0.0111,106,0.1699456585365854,False,-0.016199999999999992,False,True,1.958,-1.0,-0.07547667466293614,0.07547667466293614,True,warn,-0.1522,-0.1684,-0.1777,True,False,0.5
accrual,-0.1438,-0.009,106,0.19108976744186043,False,-0.011699999999999988,False,False,1.4652,-1.0,-0.42461696763906354,0.42461696763906354,False,stable,-0.1438,-0.1555,-0.2317,True,False,0.5
sp_ttm,0.1377,0.0135,106,0.2100048181818182,False,0.05539999999999999,True,False,3.1743,1.0,0.41946843952356655,0.41946843952356655,False,stable,0.1377,0.0823,0.0948,True,False,0.5
mom_12_1,0.1292,0.0153,106,0.23803578260869565,False,0.022900000000000004,True,False,2.9822,1.0,0.5756896646950557,0.5756896646950557,False,weak,0.1292,0.1063,0.1796,True,False,0.5
analyst_rating_chg,0.1285,0.0067,106,0.23803578260869565,False,-0.1016,True,False,4.4996,1.0,0.365530367913152,0.365530367913152,True,reverse,0.1285,0.2301,0.0029,True,False,0.5
rsi_6,-0.1267,-0.0123,106,0.24048527659574467,False,0.042800000000000005,True,False,24.5801,-1.0,-0.1378977888524657,0.1378977888524657,False,stable,-0.1267,0.0839,0.0619,False,False,0.5
ind_adj_mom,0.1246,0.0145,106,0.24449174999999998,False,0.0199,True,False,3.2544,1.0,0.543727745877721,0.543727745877721,False,weak,0.1246,0.1047,0.1787,True,False,0.5
share_issuance,-0.1134,-0.0073,106,0.29056697959183675,False,-0.0539,True,False,2.5185,-1.0,-0.4085336176361319,0.4085336176361319,True,warn,-0.1134,-0.1673,-0.1276,True,False,0.5
float_pct_30d,-0.1106,-0.0094,106,0.29882992,False,0.007900000000000004,False,False,0.5778,-1.0,-0.3974372809685183,0.3974372809685183,False,stable,-0.1106,-0.1027,-0.0621,True,False,0.5
mom_consistency_6,0.0822,0.0061,106,0.4540274117647059,False,-0.068,True,False,3.3796,1.0,0.39665914891569953,0.39665914891569953,True,warn,0.0822,0.1502,0.2401,True,False,0.5
mom_risk_adj,0.0625,0.0066,106,0.5817143461538462,False,-0.015399999999999997,True,False,5.8016,1.0,0.4556318455612453,0.4556318455612453,False,weak,0.0625,0.0779,0.156,True,False,0.5
high_52w,0.0537,0.0077,106,0.6365182641509434,False,-0.2391,True,False,37.6164,1.0,0.19867955968812087,0.19867955968812087,False,weak,0.0537,0.2928,0.2489,True,False,0.5
insider_net_buy,0.0465,0.0031,106,0.6796815925925926,False,-0.09200000000000001,False,False,0.0,1.0,-0.04653889278018078,-0.04653889278018078,True,warn,0.0465,0.1385,0.1162,True,False,0.5
mom_6_1,0.0423,0.0045,106,0.7002930545454545,False,-0.0023000000000000034,False,False,0.0,1.0,0.17295592314490435,0.17295592314490435,True,warn,0.0423,0.0446,0.1685,True,False,0.5
ind_adj_mom_6_1,0.0406,0.0042,106,0.7008813214285714,False,0.000999999999999994,False,False,0.0,1.0,0.22190863064306846,0.22190863064306846,True,warn,0.0406,0.0396,0.1659,True,False,0.5
large_net_inflow,0.02,0.0017,106,0.851753403508772,False,-0.0393,False,False,0.0,1.0,0.33704686689611835,0.33704686689611835,True,warn,0.02,0.0593,0.026,True,False,0.5
eps_dispersion,-0.0052,-0.0003,106,0.957174,False,-0.3039,True,False,0.0,-1.0,-0.8684229741786593,0.8684229741786593,True,warn,-0.0052,0.3091,0.1616,False,False,0.5
