,O2
2016-02-24,2.6024510955026408
2016-02-25,2.38656614615161
2016-02-26,2.408215409288003
2016-02-29,2.299917610557225
2016-03-01,2.35558060443576
2016-03-02,2.488247943237264
2016-03-03,2.4992007845676016
2016-03-04,2.432450173558563
2016-03-07,2.4875366737849873
2016-03-08,2.4826565535497354
2016-03-09,2.4161961780120027
2016-03-10,2.37240981254094
2016-03-11,2.3654248111356795
2016-03-14,2.4375435759504906
2016-03-15,2.419901821477988
2016-03-16,2.394675371923734
2016-03-17,2.4576014578434546
2016-03-18,2.530408836363394
2016-03-21,2.591101869865937
2016-03-22,2.5722606861065214
2016-03-23,2.5906521702397347
2016-03-24,2.5577779876467255
2016-03-25,2.5908607657055454
2016-03-28,2.579446620625393
2016-03-29,2.530109496758079
2016-03-30,2.611536803631315
2016-03-31,2.617580483169609
2016-04-01,2.611254586137038
2016-04-05,2.678531731955879
2016-04-06,2.6805816593561933
2016-04-07,2.6375816660995963
2016-04-08,2.6130203269916663
2016-04-11,2.6702448434967283
2016-04-12,2.6611757378446903
2016-04-13,2.702529516182415
2016-04-14,2.72279328750897
2016-04-15,2.7157899527852396
2016-04-18,2.683661609602562
2016-04-19,2.689988078406433
2016-04-20,2.5829497953059897
2016-04-21,2.5701438817722093
2016-04-22,2.576715861545582
2016-04-25,2.5712173146962414
2016-04-26,2.600011751426745
2016-04-27,2.594588179446897
2016-04-28,2.5880841505076453
2016-04-29,2.5865064105960727
2016-05-03,2.65982296997615
2016-05-04,2.6644806385280835
2016-05-05,2.6742577976365345
2016-05-06,2.5794284254088264
2016-05-09,2.4943667975779023
2016-05-10,2.4895073492390614
2016-05-11,2.491875773406569
2016-05-12,2.503016633074039
2016-05-13,2.4956659902589786
2016-05-16,2.5303813610231303
2016-05-17,2.521194138361746
2016-05-18,2.4551539696422875
2016-05-19,2.458193978538833
2016-05-20,2.4865098837958994
2016-05-23,2.511878070849927
2016-05-24,2.4812744983456514
2016-05-25,2.4825831184565414
2016-05-26,2.4884961550730207
2016-05-27,2.497917793480993
2016-05-30,2.4931393342880046
2016-05-31,2.5841136028996643
2016-06-01,2.593435923437562
2016-06-02,2.6147239078832025
2016-06-03,2.620830281482479
2016-06-06,2.627839732925359
2016-06-07,2.6221142438706524
2016-06-08,2.6150802433931823
2016-06-13,2.5150007125669283
2016-06-14,2.512595574195921
2016-06-15,2.585150766055446
2016-06-16,2.5882196383552976
2016-06-17,2.61273646199157
2016-06-20,2.623076436893956
2016-06-21,2.6130945087259425
2016-06-22,2.6452055987488783
2016-06-23,2.6242822923801317
2016-06-24,2.6092088557375464
2016-06-27,2.6529377583610656
2016-06-28,2.6751143587729302
2016-06-29,2.6778321136739396
2016-06-30,2.676902291414681
2016-07-01,2.666882595678292
2016-07-04,2.709211252544167
2016-07-05,2.7256427202917766
2016-07-06,2.7324781355295826
2016-07-07,2.7393531771618447
2016-07-08,2.7293859265145874
2016-07-11,2.7247819938006694
2016-07-12,2.7635341105717113
2016-07-13,2.7901387576066443
2016-07-14,2.790715815987028
2016-07-15,2.776782833487335
2016-07-18,2.7738702006069236
2016-07-19,2.7785263248839174
2016-07-20,2.7786307061419113
2016-07-21,2.787100662986344
2016-07-22,2.75925961864276
2016-07-25,2.7726806159040533
2016-07-26,2.81449092639757
2016-07-27,2.7245007262368532
2016-07-28,2.7377747998117465
