trade_date,策略月收益,基准月收益,月超额收益,累积超额,时期,滚动12月IR
2022-12,-0.04500640775649678,-0.04726004722409294,0.0023654297912352185,0.19445956447401969,验证期(2021-2022),2.0667422055332527
2023-01,0.06374188770694622,0.0559534680008702,0.00737572245566942,0.20326956670609975,测试期(2023-2025),1.9100840767870455
2023-02,0.021141943207549918,0.010873530499661666,0.010157959821949891,0.21549233061967543,测试期(2023-2025),2.1278464934837817
2023-03,-0.00770282297202185,-0.0026947078564329985,-0.005021646987177442,0.20938855721968186,测试期(2023-2025),1.500188798966101
2023-04,-0.010280662447238575,-0.015212197392287075,0.005007713267761726,0.21544482834355017,测试期(2023-2025),1.2537918413817422
2023-05,-0.02024400590375297,-0.026661667599456207,0.006593454179365743,0.22345880812678032,测试期(2023-2025),1.4124773769951853
2023-06,-0.0071020539813210215,-0.0013795968236898215,-0.005730362747876749,0.21644794534912903,测试期(2023-2025),1.9571735204531735
2023-07,0.01034590397195645,0.018228831513694255,-0.007741803509942913,0.20703044437616236,测试期(2023-2025),1.0685904716440116
2023-08,-0.05451502771734229,-0.05660293187344212,0.002213176430838404,0.20970181570696012,测试期(2023-2025),0.9479370877550192
2023-09,-0.00018421321540429414,-0.008247139646122892,0.008129975473770257,0.21953666179923315,测试期(2023-2025),0.9332207981623971
2023-10,-0.026181565432286003,-0.02834142807774631,0.0022228617210542367,0.222247523162169,测试期(2023-2025),0.7669277031650485
2023-11,0.007745139357378417,0.0031988732204388803,0.004531769580587097,0.22778646730758334,测试期(2023-2025),1.5636269893666181
2023-12,-0.014460324605532149,-0.020861753606480238,0.006537819377934184,0.23581351346551216,测试期(2023-2025),1.7459149825837956
2024-01,-0.10966884661664511,-0.13483800444412608,0.02909184402085252,0.2717656074381125,测试期(2023-2025),1.7583720965237177
2024-02,0.12537429423871904,0.13834706903732674,-0.011396150744762301,0.25727237486374355,测试期(2023-2025),0.9928647055021718
2024-03,-6.4886735059555e-05,-0.01130224398692703,0.011365816482867386,0.27156230194542363,测试期(2023-2025),1.4729706404822296
2024-04,0.02478441571937262,0.029686518438768017,-0.0047607719743947285,0.265508683774625,测试期(2023-2025),1.1552752866573452
2024-05,-0.0061661269182842204,-0.019072257179471364,0.013157065192261008,0.28215906402842017,测试期(2023-2025),1.2988940230427373
2024-06,-0.049015594129107165,-0.06202839752655109,0.01387334473999946,0.2999468987352014,测试期(2023-2025),1.8529859105161763
2024-07,-0.007252122954205409,-0.007139490857436481,-0.00011344201499785544,0.29979943013961874,测试期(2023-2025),2.192160516591531
2024-08,-0.045105419864912455,-0.04989326001828587,0.00503926553922307,0.30634946461582313,测试期(2023-2025),2.2901263345048655
2024-09,0.19367644169243192,0.23896318550590534,-0.036552130316109044,0.2585996087468063,测试期(2023-2025),0.6199931832044967
2024-10,0.005649815124856072,0.028419340980331276,-0.02214031275780015,0.23073381977230722,测试期(2023-2025),0.14802254817178048
2024-11,0.009216424071380125,-0.007948405487155363,0.01730235569750227,0.25202841409095345,测试期(2023-2025),0.35433075601989156
2024-12,-0.009944089079900076,-0.021071485828325742,0.01136691452678873,0.26626011405903616,测试期(2023-2025),0.4303214866615519
2025-01,-0.02517207958748191,-0.023404926570549822,-0.0018095043329744431,0.2639688108959737,测试期(2023-2025),-0.08624418438988339
2025-02,0.023899911926342776,0.048435683745487346,-0.023402267015074973,0.23438907528465935,测试期(2023-2025),-0.289139148372261
2025-03,0.016276893721945074,-0.00023270988002255244,0.01651344644410835,0.25477309317056496,测试期(2023-2025),-0.19535532520264598
2025-04,-0.03269923465771407,-0.03838513203940652,0.005912863424991643,0.26219239509983683,测试期(2023-2025),-0.014399257522042741
2025-05,0.030537653754203253,0.010013229242647803,0.020320946218640668,0.28784133887823793,测试期(2023-2025),0.1031909862024614
