source_id,rebalance_date,exec_date,n_holdings,top10_weight_sum,top50_weight_sum,active_share,max_single_abs_dev,max_industry_abs_dev,benchmark_weight_corr,largest_active_code,largest_active_dev,largest_industry_dev_code,largest_industry_dev
pipeline_b_frozen_replay,2022-02-28,2022-03-01,89,0.19570517045836996,0.8672726157312436,0.854782881137138,0.015953851968905416,0.030216952636341752,0.1368967610205538,000729.SZ,0.015953851968905416,801180.SI,0.030216952636341752
pipeline_b_frozen_replay,2022-03-31,2022-04-01,90,0.19304291187857733,0.8587229150594878,0.8600740779922591,0.01600168596503307,0.03189290914919572,0.09334857822361696,300037.SZ,0.01600168596503307,801760.SI,0.03189290914919572
pipeline_b_frozen_replay,2022-04-29,2022-05-05,86,0.19894110333331477,0.8718348793494287,0.8455411880836599,0.015995180303351994,0.03085928988199696,0.1593322992669141,600392.SH,0.015995180303351994,801170.SI,0.03085928988199696
pipeline_b_frozen_replay,2022-05-31,2022-06-01,89,0.19652827741894108,0.8673251018353603,0.8566694788175133,0.015733768453639472,0.031078603106438313,0.13281899091981375,600566.SH,0.015733768453639472,801150.SI,0.031078603106438313
pipeline_b_frozen_replay,2022-06-30,2022-07-01,93,0.20141921839298585,0.8770544936032914,0.8312405348908567,0.016825114192152754,0.030141559216128502,0.19147653579495982,000629.SZ,0.016825114192152754,801790.SI,-0.030141559216128502
pipeline_b_frozen_replay,2022-07-29,2022-08-01,90,0.19492613766524491,0.8540304111187482,0.8625921802361749,0.015954951183128015,0.03039997720300741,0.06942253618358725,603939.SH,0.015954951183128015,801790.SI,-0.03039997720300741
pipeline_b_frozen_replay,2022-08-31,2022-09-01,93,0.19519703788807705,0.8638308714173425,0.8485728384549032,0.016462362928408008,0.031056550019620238,0.13214745623345756,600325.SH,0.016462362928408008,801080.SI,0.031056550019620238
pipeline_b_frozen_replay,2022-09-30,2022-10-10,98,0.19433702959825586,0.8762766714285891,0.8392555688829182,0.01557737524646502,0.031355463163441226,0.17825829702797272,600236.SH,0.01557737524646502,801170.SI,0.031355463163441226
pipeline_b_frozen_replay,2022-10-31,2022-11-01,96,0.1977848542955073,0.8773906861807447,0.8315903333514731,0.015976224775668926,0.029711032029409043,0.19778604250816792,000400.SZ,0.015976224775668926,801790.SI,-0.029711032029409043
pipeline_b_frozen_replay,2022-11-30,2022-12-01,96,0.1912410682857011,0.8633762574038171,0.8456719046299238,0.015563268206668548,0.030864465387244522,0.1324622514746774,688006.SH,0.015563268206668548,999999.SI,0.030864465387244522
rolling_48m_replay,2020-12-31,2021-01-04,75,0.21101296812762121,0.8830266834082002,0.8426643125269544,0.016730045183786783,0.030453629591034224,0.22017783280822828,300274.SZ,0.016730045183786783,801790.SI,-0.030453629591034224
rolling_48m_replay,2021-01-29,2021-02-01,77,0.2037916785265692,0.8850158237416084,0.8483558639576849,0.01671245685960884,0.031038791552470482,0.19619805450237487,002124.SZ,0.01671245685960884,801150.SI,-0.031038791552470482
rolling_48m_replay,2021-02-26,2021-03-01,75,0.20410932223466804,0.8786997096943882,0.849035404147666,0.016056706194783044,0.030878266367721494,0.19801316915491518,603515.SH,0.016056706194783044,801150.SI,-0.030878266367721494
