month_end,strategy,benchmark,monthly_excess_return,source_id,is_positive_excess,year,benchmark_state,benchmark_monthly_vol,vol_state,return_state,rolling_minus_pipeline_b
2021-12-31,0.010553746110218976,0.014769562407757286,-0.004215816297538311,pipeline_b_frozen_replay,False,2021,benchmark_up,0.007596805844915099,low_vol,benchmark_up_low_vol,-0.00902444505321931
2022-01-31,-0.08262688749037805,-0.10583364426700159,0.02320675677662354,pipeline_b_frozen_replay,True,2022,benchmark_down,0.011298364003519657,high_vol,benchmark_down_high_vol,-0.010282114588459956
2022-02-28,0.05267375700639865,0.04145229034371378,0.011221466662684865,pipeline_b_frozen_replay,True,2022,benchmark_up,0.01054262969094028,low_vol,benchmark_up_low_vol,0.006249959915139769
2022-03-31,-0.08189689468160855,-0.07709373263978825,-0.004803162041820297,pipeline_b_frozen_replay,False,2022,benchmark_down,0.019321722119064848,high_vol,benchmark_down_high_vol,0.014217954673192312
2022-04-30,-0.09650241819875871,-0.10960581194298835,0.013103393744229641,pipeline_b_frozen_replay,True,2022,benchmark_down,0.024706844252518415,high_vol,benchmark_down_high_vol,0.002742149245376302
2022-05-31,0.0722891709625697,0.07508438651931204,-0.0027952155567423365,pipeline_b_frozen_replay,False,2022,benchmark_up,0.0132840647648998,high_vol,benchmark_up_high_vol,0.0034979063687436973
2022-06-30,0.06767788850546497,0.07867794629619573,-0.011000057790730766,pipeline_b_frozen_replay,False,2022,benchmark_up,0.011022734587412692,high_vol,benchmark_up_high_vol,0.009609016036083107
2022-07-31,0.0010340636245267376,-0.0206612843723063,0.021695347996833036,pipeline_b_frozen_replay,True,2022,benchmark_down,0.010246143436648309,low_vol,benchmark_down_low_vol,0.0013893337432735464
2022-08-31,-0.024182476060358615,-0.021102099488026327,-0.0030803765723322885,pipeline_b_frozen_replay,False,2022,benchmark_down,0.012323612434125988,high_vol,benchmark_down_high_vol,0.010159743651088848
2022-09-30,-0.06666307764554058,-0.07151727254695617,0.004854194901415587,pipeline_b_frozen_replay,True,2022,benchmark_down,0.012325393858751872,high_vol,benchmark_down_high_vol,-0.004955963339330349
2022-10-31,-0.0007267494576749245,0.01634194270596545,-0.017068692163640375,pipeline_b_frozen_replay,False,2022,benchmark_up,0.014078096543445667,high_vol,benchmark_up_high_vol,-0.006759625035690053
2022-11-30,0.043824420492407645,0.06022830139028512,-0.016403880897877476,pipeline_b_frozen_replay,False,2022,benchmark_up,0.00957976597069347,low_vol,benchmark_up_low_vol,-0.002654433067658335
2022-12-31,-0.03641097678196914,-0.04726004722409294,0.010849070442123798,pipeline_b_frozen_replay,True,2022,benchmark_down,0.007353875260139178,low_vol,benchmark_down_low_vol,0.003922218997967741
2021-02-28,-0.011713338386847405,0.002870373296377071,-0.014583711683224476,rolling_48m_replay,False,2021,benchmark_up,0.013036125551231913,high_vol,benchmark_up_high_vol,-0.01370084003085037
2021-03-31,-0.0005851568966405152,-0.01719331098311494,0.016608154086474425,rolling_48m_replay,True,2021,benchmark_down,0.013329559181020145,high_vol,benchmark_down_high_vol,-0.012207615791221538
2021-04-30,0.06039159083223322,0.03762394282003623,0.022767648012196995,rolling_48m_replay,True,2021,benchmark_up,0.006445662663194677,low_vol,benchmark_up_low_vol,0.024369613517353894
2021-05-31,0.0210693200716916,0.04015014839415665,-0.01908082832246505,rolling_48m_replay,False,2021,benchmark_up,0.006880510848384808,low_vol,benchmark_up_low_vol,0.004279634519594344
2021-06-30,0.05445258582640733,0.017204179227754857,0.03724840659865247,rolling_48m_replay,True,2021,benchmark_up,0.007350693062962566,low_vol,benchmark_up_low_vol,0.01375015682229308
2021-07-31,-0.014134184508100556,-0.0017283595245239924,-0.012405824983576563,rolling_48m_replay,False,2021,benchmark_down,0.01091899604543368,high_vol,benchmark_down_high_vol,-0.006211018397820456
2021-08-31,0.0736687681376973,0.07261607198832065,0.0010526961493766418,rolling_48m_replay,True,2021,benchmark_up,0.008908456175560896,low_vol,benchmark_up_low_vol,0.011964772058698836
2021-09-30,-0.011114582411079654,-0.02075529323851466,0.009640710827435006,rolling_48m_replay,True,2021,benchmark_down,0.013784859127504693,high_vol,benchmark_down_high_vol,-0.011040779997323003
2021-10-31,-0.024810433771376705,-0.011390455773384489,-0.013419977997992216,rolling_48m_replay,False,2021,benchmark_down,0.008573296808242314,low_vol,benchmark_down_low_vol,0.0038954969903188807
