left,right,rebalance_date,period,n_obs,spearman_rank_corr
ic_ir,expanding_ridge,2014-12-31,train,456,0.8764797450620324
ic_ir,expanding_ridge,2015-01-30,train,460,0.8766802696179952
ic_ir,expanding_ridge,2015-02-27,train,461,0.8606625300777062
ic_ir,expanding_ridge,2015-03-31,train,443,0.9169653628385522
ic_ir,expanding_ridge,2015-04-30,train,448,0.9186548458936802
ic_ir,expanding_ridge,2015-05-29,train,428,0.9261785490551165
ic_ir,expanding_ridge,2015-06-30,train,422,0.9016270516386564
ic_ir,expanding_ridge,2015-07-31,train,417,0.8702245355728969
ic_ir,expanding_ridge,2015-08-31,train,417,0.8782879842611006
ic_ir,expanding_ridge,2015-09-30,train,427,0.9009735947851045
ic_ir,expanding_ridge,2015-10-30,train,428,0.9001312767208278
ic_ir,expanding_ridge,2015-11-30,train,448,0.9060489433213681
ic_ir,expanding_ridge,2015-12-31,train,453,0.8885315135591063
ic_ir,expanding_ridge,2016-01-29,train,461,0.8811628761233871
ic_ir,expanding_ridge,2016-02-29,train,450,0.8659277644401341
ic_ir,expanding_ridge,2016-03-31,train,458,0.911426404291057
ic_ir,expanding_ridge,2016-04-29,train,458,0.9240970149307369
ic_ir,expanding_ridge,2016-05-31,train,461,0.9151106979441826
ic_ir,expanding_ridge,2016-06-30,train,473,0.9174680008052334
ic_ir,expanding_ridge,2016-07-29,train,475,0.9041277949333241
ic_ir,expanding_ridge,2016-08-31,train,477,0.8856814336509501
ic_ir,expanding_ridge,2016-09-30,train,469,0.9052093511300394
ic_ir,expanding_ridge,2016-10-31,train,475,0.8976801284412602
ic_ir,expanding_ridge,2016-11-30,train,466,0.9065130847647798
ic_ir,expanding_ridge,2016-12-30,train,466,0.9256858726849458
ic_ir,expanding_ridge,2017-01-26,train,467,0.9191937924738129
ic_ir,expanding_ridge,2017-02-28,train,467,0.8941225845878414
ic_ir,expanding_ridge,2017-03-31,train,465,0.9074190059785187
ic_ir,expanding_ridge,2017-04-28,train,466,0.9122012203473844
ic_ir,expanding_ridge,2017-05-31,train,470,0.9240567342543349
ic_ir,expanding_ridge,2017-06-30,train,469,0.8899899932584991
ic_ir,expanding_ridge,2017-07-31,train,467,0.8643174054654899
