source_id,rebalance_date,exec_date,exec_gt_rebalance,stamp_duty_rate,sell_value,buy_value,cost,turnover_one_way_equiv,cost_bps_of_pv_before,n_locked,n_no_buy,n_no_sell,n_no_price
pipeline_b_frozen_replay,2022-08-31,2022-09-01,True,0.001,0.6101193231492547,0.6101193400935502,0.0018913699195541997,1.1474922168378865,17.786129281316565,0,0,0,0
pipeline_b_frozen_replay,2022-09-30,2022-10-10,True,0.001,0.3816545977582755,0.3816545841129198,0.0011831292387230305,0.7684005981362664,11.910209339793994,0,0,0,0
pipeline_b_frozen_replay,2022-10-31,2022-11-01,True,0.001,0.46749317429535087,0.46749323913148466,0.0014492289083935283,0.9436223670443294,14.62614636201216,0,0,0,0
pipeline_b_frozen_replay,2022-11-30,2022-12-01,True,0.001,0.33515391569219,0.33515363893693995,0.0010389768480527765,0.6429005308244415,9.964959554976307,0,0,0,0
rolling_48m_replay,2020-12-31,2021-01-04,True,0.001,0.0,0.9840908915102445,0.0010332954360857567,0.9840908915102445,10.332954360857567,0,2,0,0
rolling_48m_replay,2021-01-29,2021-02-01,True,0.001,0.383283133664982,0.3991757885512521,0.001204865001992028,0.7587884570506418,11.684161683866616,0,0,0,0
rolling_48m_replay,2021-02-26,2021-03-01,True,0.001,0.32851401416353604,0.3285142189592683,0.0010183936589424807,0.6423999528458754,9.957198267930586,0,0,0,0
rolling_48m_replay,2021-03-31,2021-04-01,True,0.001,0.46729675544419386,0.46729687727513375,0.0014486200697994879,0.9185392980078819,14.237358520431455,0,0,0,0
rolling_48m_replay,2021-04-30,2021-05-06,True,0.001,0.6385886984130188,0.6217103521895296,0.0019619027015456945,1.1656416141284858,18.145498329935315,1,1,0,0
rolling_48m_replay,2021-05-31,2021-06-01,True,0.001,0.3029018366879742,0.3192068331495447,0.0009561159400173691,0.5642676167462345,8.672202927948158,0,1,0,0
rolling_48m_replay,2021-06-30,2021-07-01,True,0.001,0.35019133846584205,0.3507335845747238,0.0010861625076584362,0.6038825401511115,9.357843509064619,0,0,0,0
rolling_48m_replay,2021-07-30,2021-08-02,True,0.001,0.38515207668336693,0.35982829830748814,0.0011673814704237647,0.6519225265085523,10.215601687591727,0,1,0,0
rolling_48m_replay,2021-08-31,2021-09-01,True,0.001,0.6969779180814417,0.7222759087091807,0.0021871944362115954,1.1525931727686693,17.7624701593777,0,0,0,0
rolling_48m_replay,2021-09-30,2021-10-08,True,0.001,0.3601650914761728,0.3601651298878756,0.0011165118239084236,0.5856519462889915,9.077605011329538,0,0,0,0
rolling_48m_replay,2021-10-29,2021-11-01,True,0.001,0.562228614478831,0.5622286443220641,0.0017429087362197707,0.9493449047591106,14.714845897787566,0,0,0,0
rolling_48m_replay,2021-11-30,2021-12-01,True,0.001,0.509427787155903,0.5094278610996676,0.001579226217824252,0.8285594114663277,12.842670577063297,0,0,0,0
