source_id,period_start,period_end,strategy_stock_contribution,benchmark_stock_contribution,active_stock_contribution,top10_positive_share_of_positive,top10_active_share_of_positive
rolling_48m_replay,2022-01-28,2022-02-28,0.04423080111888483,0.028081068259000377,0.016149732859884455,0.5645849949059939,0.41304119923401533
rolling_48m_replay,2022-02-28,2022-03-31,-0.06736500220617915,-0.07906755921390446,0.011702557007725305,0.9707728206053704,0.2008685975073015
rolling_48m_replay,2022-03-31,2022-04-29,-0.0873014813584641,-0.10463737216270778,0.017335890804243696,0.9926575166453875,0.13423872966675618
rolling_48m_replay,2022-04-29,2022-05-31,0.07806119382236547,0.07778837424598305,0.0002728195763824154,0.422448050894592,0.37409892482787893
rolling_48m_replay,2022-05-31,2022-06-30,0.08212000382350915,0.0829638096315155,-0.0008438058080063766,0.5102651799042968,0.4674875445227397
rolling_48m_replay,2022-06-30,2022-07-29,0.006499780078668124,-0.02030684131686381,0.026806621395531936,0.8868335833418785,0.47209187746174136
rolling_48m_replay,2022-07-29,2022-08-31,-0.01040416546236418,-0.021000365453653275,0.010596199991289097,0.8099246144580124,0.3220099372719394
rolling_48m_replay,2022-08-31,2022-09-30,-0.06888294487293375,-0.07079971626986867,0.0019167713969349114,1.0,0.1352350331535629
rolling_48m_replay,2022-09-30,2022-10-31,-0.008001100179446032,0.01377695870126747,-0.021778058880713505,0.7471777521546532,0.3636335345890184
rolling_48m_replay,2022-10-31,2022-11-30,0.04267332969313664,0.058804716590481934,-0.016131386897345282,0.5238389940845766,0.43224533629973155
rolling_48m_replay,2022-11-30,2022-12-30,-0.03846310785135833,-0.05307126577702612,0.014608157925667787,0.9648441748377222,0.2536591642425254
