source_id,rebalance_date,period,top50_retention,top50_turnover,rank_corr_vs_prev
ic_ir,2018-04-27,train,0.54,0.45999999999999996,0.6528855712311643
ic_ir,2018-05-31,train,0.56,0.43999999999999995,0.7702556115868686
ic_ir,2018-06-29,train,0.76,0.24,0.9116410499897977
ic_ir,2018-07-31,train,0.7,0.30000000000000004,0.8902423203557436
ic_ir,2018-08-31,train,0.44,0.56,0.7020767308239465
ic_ir,2018-09-28,train,0.7,0.30000000000000004,0.9190342631375104
ic_ir,2018-10-31,train,0.44,0.56,0.7087619017088124
ic_ir,2018-11-30,train,0.72,0.28,0.8953094087009676
ic_ir,2018-12-28,train,0.68,0.31999999999999995,0.9172007618700979
ic_ir,2019-01-31,train,0.72,0.28,0.9217671095936768
ic_ir,2019-02-28,train,0.68,0.31999999999999995,0.9239639967370818
ic_ir,2019-03-29,train,0.56,0.43999999999999995,0.8139056913527912
ic_ir,2019-04-30,train,0.36,0.64,0.587733364962981
ic_ir,2019-05-31,train,0.72,0.28,0.9117058430252286
ic_ir,2019-06-28,train,0.72,0.28,0.9237476988336247
ic_ir,2019-07-31,train,0.68,0.31999999999999995,0.9012824851223052
ic_ir,2019-08-30,train,0.58,0.42000000000000004,0.736390520693919
ic_ir,2019-09-30,train,0.74,0.26,0.9161930720930348
ic_ir,2019-10-31,train,0.56,0.43999999999999995,0.8147853800579268
ic_ir,2019-11-29,train,0.68,0.31999999999999995,0.9208609654147769
ic_ir,2019-12-31,train,0.66,0.33999999999999997,0.9241974936182147
ic_ir,2020-01-23,train,0.8,0.19999999999999996,0.9317111502935521
ic_ir,2020-02-28,train,0.68,0.31999999999999995,0.8977435309302687
ic_ir,2020-03-31,train,0.66,0.33999999999999997,0.868816896183592
ic_ir,2020-04-30,train,0.32,0.6799999999999999,0.4631818859105843
ic_ir,2020-05-29,train,0.86,0.14,0.9669876118685768
ic_ir,2020-06-30,train,0.68,0.31999999999999995,0.9444689758849141
ic_ir,2020-07-31,train,0.7,0.30000000000000004,0.942204716185909
ic_ir,2020-08-31,train,0.32,0.6799999999999999,0.6369739190019588
ic_ir,2020-09-30,train,0.72,0.28,0.951478602574185
ic_ir,2020-10-30,train,0.5,0.5,0.820888993683844
ic_ir,2020-11-30,train,0.68,0.31999999999999995,0.903318321083916
ic_ir,2020-12-31,train,0.66,0.33999999999999997,0.9038700419764065
ic_ir,2021-01-29,valid,0.74,0.26,0.942534679115036
ic_ir,2021-02-26,valid,0.84,0.16000000000000003,0.9634923230839562
ic_ir,2021-03-31,valid,0.64,0.36,0.8476527084403063
ic_ir,2021-04-30,valid,0.38,0.62,0.4768392526933691
ic_ir,2021-05-31,valid,0.82,0.18000000000000005,0.9586506362630234
ic_ir,2021-06-30,valid,0.78,0.21999999999999997,0.9429954450273994
ic_ir,2021-07-30,valid,0.76,0.24,0.9497864454328397
ic_ir,2021-08-31,valid,0.4,0.6,0.6513876304412654
ic_ir,2021-09-30,valid,0.84,0.16000000000000003,0.9435962599247315
ic_ir,2021-10-29,valid,0.68,0.31999999999999995,0.8052849715342264
ic_ir,2021-11-30,valid,0.66,0.33999999999999997,0.8467538796926091
ic_ir,2021-12-31,valid,0.64,0.36,0.8830619020968931
ic_ir,2022-01-28,valid,0.74,0.26,0.8971053350774897
ic_ir,2022-02-28,valid,0.68,0.31999999999999995,0.891888241824129
ic_ir,2022-03-31,valid,0.62,0.38,0.8361653770429309
ic_ir,2022-04-29,valid,0.48,0.52,0.6376051659494703
ic_ir,2022-05-31,valid,0.66,0.33999999999999997,0.8522355995052671
ic_ir,2022-06-30,valid,0.66,0.33999999999999997,0.9152548368105942
ic_ir,2022-07-29,valid,0.72,0.28,0.8642643083402779
ic_ir,2022-08-31,valid,0.28,0.72,0.5727630015136633
ic_ir,2022-09-30,valid,0.62,0.38,0.8908264875626798
ic_ir,2022-10-31,valid,0.3,0.7,0.6212789861292991
ic_ir,2022-11-30,valid,0.58,0.42000000000000004,0.8533979362166645
ic_ir,2022-12-30,valid,0.58,0.42000000000000004,0.8630383644368759
expanding_ridge,2014-03-31,train,,,
expanding_ridge,2014-04-30,train,0.34,0.6599999999999999,0.6344489807285768
expanding_ridge,2014-05-30,train,0.66,0.33999999999999997,0.864524408437029
expanding_ridge,2014-06-30,train,0.58,0.42000000000000004,0.8192028926258075
expanding_ridge,2014-07-31,train,0.62,0.38,0.7727931668838759
expanding_ridge,2014-08-29,train,0.58,0.42000000000000004,0.7435205588628276
expanding_ridge,2014-09-30,train,0.58,0.42000000000000004,0.8115431426248447
expanding_ridge,2014-10-31,train,0.52,0.48,0.7399466570251236
expanding_ridge,2014-11-28,train,0.56,0.43999999999999995,0.7681684488150591
expanding_ridge,2014-12-31,train,0.38,0.62,0.7342093823921868
expanding_ridge,2015-01-30,train,0.46,0.54,0.7840201266961117
expanding_ridge,2015-02-27,train,0.48,0.52,0.8113422467408178
expanding_ridge,2015-03-31,train,0.52,0.48,0.7102625771860827
expanding_ridge,2015-04-30,train,0.4,0.6,0.646782496804105
expanding_ridge,2015-05-29,train,0.56,0.43999999999999995,0.7915427525549054
