source_id,rebalance_date,period,n_columns,n_non_nan,nan_rate,universe_count,valid_universe_overlap_count,valid_universe_overlap_ratio,nonuniverse_valid_count,mean,std,skew,kurt,min,max,p01,p99
ic_ir,2015-09-30,train,1329,432,0.6749435665914221,500,432,0.864,0,-6.167905692361981e-17,1.0,-0.2970660057221914,-0.19871932807641413,-2.97003791525316,2.352130988303142,-2.5129986954928074,2.071500278837942
ic_ir,2015-10-30,train,1329,432,0.6749435665914221,500,432,0.864,0,1.1307827102663631e-17,1.0,-0.20516294899989762,-0.04992988407442844,-2.8600328622225084,2.651333710328437,-2.4223138236983224,2.2090802439554986
ic_ir,2015-11-30,train,1329,453,0.6591422121896162,500,453,0.906,0,-7.842635052539737e-18,0.9999999999999999,-0.08626706662197219,-0.12607741379670045,-2.9630287479896884,2.716194939284184,-2.377358096399789,2.2459565790108176
ic_ir,2015-12-31,train,1329,456,0.6568848758465011,500,456,0.912,0,-7.791038769299344e-18,1.0,-0.3210196436182572,-0.10224017547103159,-2.897461117482183,2.5602340741890455,-2.490022503540667,2.0575270748741987
ic_ir,2016-01-29,train,1329,465,0.6501128668171557,500,465,0.93,0,1.5280488941077423e-17,1.0,-0.3820140786378418,-0.14095539050098171,-3.0329163921639837,2.4595094544117235,-2.5006705244845566,2.0038388039139234
ic_ir,2016-02-29,train,1329,454,0.6583897667419112,500,454,0.908,0,3.1301442103969174e-17,0.9999999999999999,-0.3720528799543525,-0.01906040266472564,-2.7360759148860834,2.591837547514699,-2.5642926820219913,2.0118540083493897
ic_ir,2016-03-31,train,1329,461,0.653122648607976,500,461,0.922,0,1.541307452841866e-17,0.9999999999999999,-0.322286380871079,0.2070121788459418,-2.8084498709554815,2.730103702794353,-2.729011585436802,2.178086114878131
ic_ir,2016-04-29,train,1329,462,0.6523702031602708,500,462,0.924,0,-2.3069569342860397e-17,1.0,-0.3104930870863527,0.1012069446925703,-2.8929469028605186,2.8444710363740198,-2.634736290699642,2.10397152618767
ic_ir,2016-05-31,train,1329,465,0.6501128668171557,500,465,0.93,0,1.5280488941077423e-17,1.0,-0.36562094022380404,0.21973523121469452,-2.757342720119237,2.7441104958272127,-2.757342720119237,2.0996079750489693
ic_ir,2016-06-30,train,1329,474,0.6433408577878104,500,474,0.948,0,1.4990353075107598e-17,1.0,-0.44960930122138704,0.23039316431357415,-2.866767463061451,2.403124753302395,-2.866767463061451,1.9754519458854474
