period,industry_code,industry_name,n,ic_mean,ic_ir,t_stat,p_value,pct_positive
2016-2018,801880.SI,汽车,36,0.04899206758726882,0.21041550225658673,1.2624930135395203,0.2151188033441408,0.6111111111111112
2016-2018,801890.SI,机械设备,36,0.14474419476168598,0.5480865910404035,3.288519546242421,0.0023001853506867875,0.7222222222222222
2016-2018,801950.SI,煤炭,11,-0.022314049586776855,-0.06359301997074836,-0.21091418652855,0.8371901494863752,0.5454545454545454
2019-2020,801010.SI,农林牧渔,16,0.020716783216783233,0.07005868670141233,0.2802347468056493,0.7831252449926737,0.4375
2019-2020,801030.SI,基础化工,22,0.0581187390984836,0.3280530974565114,1.5387054183689126,0.1388090554136538,0.6363636363636364
2019-2020,801040.SI,钢铁,22,0.021455250653925704,0.07407297398132308,0.34743304453898866,0.7317239766041818,0.5909090909090909
2019-2020,801050.SI,有色金属,22,-0.03982812577723187,-0.13053419066138106,-0.612259625073938,0.5469389299321229,0.5
2019-2020,801080.SI,电子,22,0.04008329287574225,0.22669943702335293,1.0633146121574337,0.29971430187924014,0.45454545454545453
2019-2020,801120.SI,食品饮料,22,-0.1254245754245754,-0.4869037094098141,-2.2837808321322797,0.032899519085770816,0.3181818181818182
2019-2020,801140.SI,轻工制造,16,0.05942390942390944,0.23309401886463668,0.9323760754585467,0.36590785583299346,0.5625
2019-2020,801150.SI,医药生物,22,0.05861137698171783,0.2495531509105854,1.1705080319446044,0.2549087565985495,0.5454545454545454
2019-2020,801160.SI,公用事业,22,-0.09614824630280717,-0.36331402944667995,-1.7040938494816613,0.1031170117706169,0.36363636363636365
2019-2020,801170.SI,交通运输,22,0.04244731994402405,0.20663652168871666,0.9692111978838526,0.343471035976293,0.5909090909090909
2019-2020,801180.SI,房地产,22,-0.04732821639521882,-0.2452876582307009,-1.1505010978554626,0.26287044677524,0.4090909090909091
2019-2020,801200.SI,商贸零售,22,0.0007588793826834153,0.003538227157142067,0.0165957564196944,0.9869157749513988,0.5909090909090909
